sep=	
0.000000000E0	4.557383118E2	3.981837312E2
9.200000000E-1	4.475162288E2	3.535495666E2
1.640000000E0	4.111041472E2	2.642812375E2
2.200000000E0	3.535495666E2	1.714891586E2
2.600000000E0	2.865983198E2	1.057124950E2
3.080000000E0	1.773620750E2	3.993583145E1
3.480000000E0	7.164957995E1	8.222082945E0
3.720000000E0	-1.174583278E0	-1.174583278E0
4.040000000E0	-9.279207895E1	8.222082945E0
4.440000000E0	-2.008537405E2	4.111041472E1
4.960000000E0	-3.159629017E2	1.115854114E2
5.560000000E0	-4.040566476E2	2.125995733E2
6.040000000E0	-4.439924790E2	2.854237365E2
6.600000000E0	-4.663095613E2	3.512004001E2
7.480000000E0	-4.768808108E2	3.911362315E2
8.280000000E0	-4.674841446E2	3.582478997E2
8.880000000E0	-4.463416456E2	2.912966529E2
9.560000000E0	-3.840887318E2	1.832349913E2
1.000000000E1	-3.112645686E2	1.104108281E2
1.044000000E1	-2.137741566E2	5.050708095E1
1.084000000E1	-1.092362448E2	1.174583278E1
1.124000000E1	1.174583278E0	2.349166556E0
1.160000000E1	1.080616616E2	1.409499933E1
1.192000000E1	1.926316576E2	4.580874783E1
1.228000000E1	2.725033205E2	9.279207895E1
1.264000000E1	3.371054007E2	1.515212428E2
1.304000000E1	3.864378984E2	2.196470730E2
1.352000000E1	4.287228964E2	2.924712362E2
1.504000000E1	4.557383118E2	3.946599813E2
1.580000000E1	4.498653954E2	3.570733165E2
1.636000000E1	4.263737298E2	2.912966529E2
1.672000000E1	4.005328977E2	2.384404054E2
1.724000000E1	3.371054007E2	1.515212428E2
1.752000000E1	2.877729031E2	1.068870783E2
1.788000000E1	2.079012402E2	5.168166422E1
1.816000000E1	1.386008268E2	2.349166556E1
1.840000000E1	7.164957995E1	7.047499667E0
1.864000000E1	2.349166556E0	3.523749833E0
1.892000000E1	-7.869707961E1	7.047499667E0
1.928000000E1	-1.761874917E2	3.171374850E1
1.948000000E1	-2.266945726E2	5.285624750E1
1.972000000E1	-2.795508201E2	8.574457928E1
2.012000000E1	-3.500258168E2	1.432991599E2
2.056000000E1	-4.087549807E2	2.219962395E2
2.116000000E1	-4.522145620E2	3.089154021E2
2.164000000E1	-4.698333111E2	3.570733165E2
2.252000000E1	-4.768808108E2	3.876124817E2
2.328000000E1	-4.663095613E2	3.476766502E2
2.380000000E1	-4.463416456E2	2.901220696E2
2.436000000E1	-3.946599813E2	2.008537405E2
2.484000000E1	-3.277087345E2	1.209820776E2
2.524000000E1	-2.419641552E2	6.225291372E1
2.568000000E1	-1.315533271E2	1.644416589E1
2.612000000E1	-8.222082945E0	-3.523749833E0
2.656000000E1	1.186329111E2	1.879333245E1
2.696000000E1	2.172979064E2	5.872916389E1
2.736000000E1	3.006933191E2	1.186329111E2
2.792000000E1	3.840887318E2	2.125995733E2
2.832000000E1	4.181516469E2	2.748524870E2
2.880000000E1	4.404687292E2	3.347562342E2
2.992000000E1	4.557383118E2	3.934853981E2
